keys,en
t0b268ba6f4,What is SNR (Signal to Noise Ratio)?
tc7083e5268,"The Measure of the data (signal) compared to the receiver antenna power(noise) 
 received by the antenna."
tdbe6cc099e,"Incorrect, please try again"
t3dd5ee493a,"The Measure of the antenna (signal) compared to the amount of data (noise) 
 received by the receiver."
t3d9aa60b69,"Incorrect, please try again"
t0d3df3766a,"The Measure of the receiver antenna power (signal) compared to the amount of 
 data (noise) received by the antenna."
tdd233ccd3a,Correct!
tca99f8754c,How is SNR measured?
t56747e680b,Decibels
t1c132f386c,Correct!
te91832a817,Megawatts
t7d7c880811,"Incorrect, please try again"
tf29a281841,Milliwatts
t920f363a1c,"Incorrect, please try again"
t0050919b16,What equation is used for SNR?
t9eb8a0ca4e,10 * log(p2/p1)
t38dfe7c204,"Incorrect, please try again"
t74b09264d2,k * T_s * B_n
td698881920,"Incorrect, please try again"
t773280b020,P_r / N
t04e50d36e0,Correct!
tb424377ee6,That should do it.
ta1360ac25a,Ranger? What's going on- WHAT HAPPENED!
ta869f14eb2,"Oh yeah ROGER, you had to be rebooted because of the crash. The radar being rebuilt must've brought everything back."
tb0c8a277be,"Sheesh, seems like I missed a lot! I’ll get started on ship repairs! While I get that done, it seems you have some visitors outside."
t01a16c277f,Whoooaaaaaaaa. That ship is a beaut!
tc96ebac397,"Hey everyone, what are you all doing here?"
t0f9fc9fcb4,"Well, we heard you were leaving soon, and Daria invited us over to see the ship."
ta79f13e131,I have to say goodbye to my arch-rival after all.
td656131f22,We also wanted to thank you for everything you did for us!
t368d918226,And here I thought the Control Unit was complex. That ship must be something else.
t949e637bc6,"Since everyone is here, I can give you all a quick explanation about the Radar."
t92d23d7edc,It could be good information for when I join the Ranger Corps. Please do!
t8f1e10c031,"Looks like everything is good here. ROGER, how's it looking?"
t7752f6390f,"Everything is up and running sir. I have to say, it's been a while since I have seen you so relaxed. This adventure must've helped you out a lot."
t4c7dffdfea,"As much as I love this place, work doesn't stop for anyone. ROGER, set a route back to IUI!"
t8064cafd86,Affirmative!
t001c6517a4,Let's goooo!
